"","region_id","region_name","flower_png"
"1",0,"Average","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Average.png"
"2",1,"Cocos Islands","C:/test/OHITool/ohi-global/eez/reports/figures/flower_CocosIslands.png"
"3",2,"Christmas Island","C:/test/OHITool/ohi-global/eez/reports/figures/flower_ChristmasIsland.png"
"4",3,"Norfolk Island","C:/test/OHITool/ohi-global/eez/reports/figures/flower_NorfolkIsland.png"
"5",4,"Macquarie Island","C:/test/OHITool/ohi-global/eez/reports/figures/flower_MacquarieIsland.png"
"6",5,"New Caledonia","C:/test/OHITool/ohi-global/eez/reports/figures/flower_NewCaledonia.png"
"7",6,"Vanuatu","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Vanuatu.png"
"8",7,"Solomon Islands","C:/test/OHITool/ohi-global/eez/reports/figures/flower_SolomonIslands.png"
"9",8,"Palau","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Palau.png"
"10",9,"Micronesia","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Micronesia.png"
"11",10,"Nauru","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Nauru.png"
"12",11,"Marshall Islands","C:/test/OHITool/ohi-global/eez/reports/figures/flower_MarshallIslands.png"
"13",12,"Wake Island","C:/test/OHITool/ohi-global/eez/reports/figures/flower_WakeIsland.png"
"14",13,"Northern Mariana Islands and Guam","C:/test/OHITool/ohi-global/eez/reports/figures/flower_NorthernMarianaIslandsandGuam.png"
"15",14,"Taiwan","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Taiwan.png"
"16",15,"Philippines","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Philippines.png"
"17",16,"Australia","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Australia.png"
"18",17,"Papua New Guinea","C:/test/OHITool/ohi-global/eez/reports/figures/flower_PapuaNewGuinea.png"
"19",18,"Fiji","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Fiji.png"
"20",19,"Tuvalu","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Tuvalu.png"
"21",20,"South Korea","C:/test/OHITool/ohi-global/eez/reports/figures/flower_SouthKorea.png"
"22",21,"North Korea","C:/test/OHITool/ohi-global/eez/reports/figures/flower_NorthKorea.png"
"23",24,"Cambodia","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Cambodia.png"
"24",25,"Thailand","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Thailand.png"
"25",26,"Andaman and Nicobar","C:/test/OHITool/ohi-global/eez/reports/figures/flower_AndamanandNicobar.png"
"26",28,"Comoro Islands","C:/test/OHITool/ohi-global/eez/reports/figures/flower_ComoroIslands.png"
"27",29,"Mayotte","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Mayotte.png"
"28",30,"Glorioso Islands","C:/test/OHITool/ohi-global/eez/reports/figures/flower_GloriosoIslands.png"
"29",31,"Seychelles","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Seychelles.png"
"30",32,"Reunion","C:/test/OHITool/ohi-global/eez/reports/figures/flower_Reunion.png"
